City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
39,Coihaique,CL,-45.5752,-72.0662,51.75,58,0,3.44,clear sky
40,Xilagani,GR,40.9833,25.4167,56.59,49,0,2.82,clear sky
41,New Norfolk,AU,-42.7826,147.0587,59.72,41,100,2.75,overcast clouds
42,Georgetown,MY,5.4112,100.3354,82.33,80,20,3.44,few clouds
43,Avarua,CK,-21.2078,-159.775,77.05,57,75,20.71,broken clouds
44,Opuwo,NA,-18.0607,13.84,70.56,26,0,3.51,clear sky
45,Saldanha,ZA,-33.0117,17.9442,57.09,87,100,3.56,overcast clouds
46,Quelimane,MZ,-17.8786,36.8883,68.43,94,0,2.86,clear sky
47,Bambous Virieux,MU,-20.3428,57.7575,70.21,73,40,10.36,scattered clouds
48,Barrow,US,71.2906,-156.7887,28.42,74,100,11.5,overcast clouds
49,Sao Felix Do Xingu,BR,-6.6447,-51.995,76.01,62,11,1.12,few clouds
50,Kashi,CN,39.4547,75.9797,56.62,27,99,9.57,overcast clouds
51,Hermanus,ZA,-34.4187,19.2345,59.81,83,94,12.19,overcast clouds
52,Cherskiy,RU,68.75,161.3,29.28,86,100,12.55,overcast clouds
53,Camacha,PT,33.0833,-16.3333,63.82,77,20,4.61,few clouds
54,Teahupoo,PF,-17.8333,-149.2667,76.96,72,100,10.74,overcast clouds
55,Puerto Ayora,EC,-0.7393,-90.3518,64.54,94,88,1.99,overcast clouds
56,Mar Del Plata,AR,-38.0023,-57.5575,51.1,80,89,3.0,overcast clouds
57,Khatanga,RU,71.9667,102.5,24.4,96,99,11.56,light snow
58,Manyana,BW,-23.4,21.7167,68.36,19,0,9.71,clear sky
59,Laguna,US,38.421,-121.4238,79.32,54,0,8.05,clear sky
60,Bluff,NZ,-46.6,168.3333,47.8,53,100,20.11,overcast clouds
61,Mount Gambier,AU,-37.8333,140.7667,66.2,53,69,3.42,broken clouds
62,Poum,NC,-20.2333,164.0167,74.77,65,84,13.49,broken clouds
63,Broken Hill,AU,-31.95,141.4333,73.81,25,81,11.07,broken clouds
64,Babat,ID,-7.1128,112.1635,86.58,64,89,6.8,overcast clouds
